year,community_area,comm_pop,community,commarea_km2,other1,property1,public_order1,violent1,malepop,male15_19pop,male15_24pop,male15_29pop,allwhitepop,allblackpop
2021,14,48647.0,ALBANY PARK,53.54223080864773,129,1058,107,576,24929,1900,3934,6053,30745,2884
2021,15,65563.0,PORTAGE PARK,110.19609711747748,192,1396,128,832,31963,1999,4059,5967,47472,1847
2021,16,54280.0,IRVING PARK,89.61138229311392,158,1335,121,628,26780,1193,2612,4612,39795,2729
2021,17,44277.0,DUNNING,103.5950011545707,160,864,60,457,21688,1309,2227,3316,34394,1972
2021,18,13776.0,MONTCLARE,27.57639362717424,49,267,42,161,6376,409,769,1237,8719,1154
2021,19,78610.0,BELMONT CRAGIN,109.09941466771691,312,1783,357,1207,38608,3212,6008,8676,46285,4046
2021,20,23201.0,HERMOSA,32.60205939915233,120,649,100,406,11891,968,1861,2478,13768,1334
2021,21,36820.0,AVONDALE,55.29059546222403,110,973,76,442,18084,929,2208,4195,26972,2292
2021,22,71408.0,LOGAN SQUARE,100.05756668057336,255,2284,182,905,35494,1239,3326,9353,57968,6471
2021,23,55785.0,HUMBOLDT PARK,100.48087648273764,370,2502,1322,1933,26531,2056,3869,6357,21456,20944
2021,24,86881.0,WEST TOWN,127.56290457232984,250,3928,271,1220,43988,792,2978,11445,70684,7780
2021,25,97313.0,AUSTIN,199.25420338818205,875,5271,1362,4252,44892,3201,6589,10052,13898,74947
2021,26,17289.0,WEST GARFIELD PARK,36.09284880796031,198,1502,1252,1401,8779,531,1155,1837,827,16195
2021,27,19908.0,EAST GARFIELD PARK,53.88322083574582,216,1501,690,1349,8967,582,1365,2203,1829,17635
2021,28,65019.0,NEAR WEST SIDE,158.49246652347665,377,4390,374,1822,32199,1940,5204,10102,34495,17103
2021,29,32106.0,NORTH LAWNDALE,89.48742200680012,442,2642,1294,2316,13961,1189,2580,3826,3267,26621
2021,30,70281.0,SOUTH LAWNDALE,127.99829784190968,206,1519,333,1284,40253,2643,6608,11030,34870,10085
2021,31,33588.0,LOWER WEST SIDE,81.55072362189355,119,1236,150,726,16804,867,2051,4072,19851,1465
