year,namelsad,tractpop,geoid,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,Census Tract 1407.02,6083.0,17031140702,140702,14,1.0,49280.0,0.1234375,ALBANY PARK,53.54223080864773
2020,Census Tract 1406.02,5124.0,17031140602,140602,14,1.0,49280.0,0.1039772727272727,ALBANY PARK,53.54223080864773
2020,Census Tract 1407.01,2999.0,17031140701,140701,14,1.0,49280.0,0.0608563311688311,ALBANY PARK,53.54223080864773
2020,Census Tract 1605.02,3838.0,17031160502,160502,16,1.0,53604.0,0.0715991343929557,IRVING PARK,89.61138229311392
2020,Census Tract 1606.02,3703.0,17031160602,160602,16,1.0,53604.0,0.0690806656219685,IRVING PARK,89.61138229311392
2020,Census Tract 1510.02,5333.0,17031151002,151002,15,1.0,63919.0,0.0834337208028911,PORTAGE PARK,110.19609711747748
2020,Census Tract 1510.01,2666.0,17031151001,151001,15,1.0,63919.0,0.0417090380012202,PORTAGE PARK,110.19609711747748
2020,Census Tract 1904.02,5238.0,17031190402,190402,19,1.0,78788.0,0.0664822054119916,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 4313.01,3720.0,17031431301,431301,43,1.0,51992.0,0.0715494691490998,SOUTH SHORE,81.81271638009841
2020,Census Tract 4313.02,3538.0,17031431302,431302,43,1.0,51992.0,0.0680489306047084,SOUTH SHORE,81.81271638009841
2020,Census Tract 4603.02,3593.0,17031460302,460302,46,1.0,29977.0,0.1198585582279747,SOUTH CHICAGO,93.2721849914544
2020,Census Tract 4603.01,3486.0,17031460301,460301,46,1.0,29977.0,0.1162891550188477,SOUTH CHICAGO,93.2721849914544
2020,Census Tract 7005.01,6485.0,17031700501,700501,70,1.0,42902.0,0.1511584541513216,ASHBURN,135.46033718240324
2020,Census Tract 7005.02,3676.0,17031700502,700502,70,1.0,42902.0,0.0856836511118362,ASHBURN,135.46033718240324
2020,Census Tract 2106.01,3145.0,17031210601,210601,21,1.0,37360.0,0.0841809421841541,AVONDALE,55.29059546222403
2020,Census Tract 8411,7165.0,17031841100,841100,34,1.0,13401.0,0.5346615924184762,ARMOUR SQUARE,27.766196090094883
2020,Census Tract 8402,2190.0,17031840200,840200,60,1.0,32901.0,0.0665633263426643,BRIDGEPORT,58.29151926539481
2020,Census Tract 8413,4299.0,17031841300,841300,31,1.0,32672.0,0.1315805582761998,LOWER WEST SIDE,81.55072362189355
2020,Census Tract 8407,3508.0,17031840700,840700,30,1.0,70235.0,0.0499466078166156,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 8417,1444.0,17031841700,841700,30,1.0,70235.0,0.020559550081868,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 1906.02,5532.0,17031190602,190602,19,1.0,78788.0,0.0702137381327105,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 1904.01,4408.0,17031190401,190401,19,1.0,78788.0,0.0559476062344519,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 1907.02,4644.0,17031190702,190702,19,1.0,78788.0,0.0589429862415596,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 1913.02,4942.0,17031191302,191302,19,1.0,78788.0,0.0627252881149413,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 1906.01,4802.0,17031190601,190601,19,1.0,78788.0,0.0609483677717418,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 1913.01,5729.0,17031191301,191301,19,1.0,78788.0,0.0727141189013555,BELMONT CRAGIN,109.09941466771691
2020,Census Tract 2004.02,4806.0,17031200402,200402,20,1.0,23163.0,0.2074860769330397,HERMOSA,32.60205939915233
2020,Census Tract 2004.01,3201.0,17031200401,200401,20,1.0,23163.0,0.1381945343867374,HERMOSA,32.60205939915233
2020,Census Tract 2209.02,3049.0,17031220902,220902,22,1.0,71247.0,0.0427947843417968,LOGAN SQUARE,100.05756668057336
2020,Census Tract 2105.01,3001.0,17031210501,210501,21,1.0,37360.0,0.0803265524625267,AVONDALE,55.29059546222403
2020,Census Tract 1606.01,3191.0,17031160601,160601,16,1.0,53604.0,0.0595291396164465,IRVING PARK,89.61138229311392
2020,Census Tract 619.01,3384.0,17031061901,61901,6,1.0,101428.0,0.0333635682454549,LAKE VIEW,87.21479925558447
2020,Census Tract 8408,3243.0,17031840800,840800,30,1.0,70235.0,0.046173560190788,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 307.03,3035.0,17031030703,30703,77,1.0,58693.0,0.0517097439217623,EDGEWATER,48.449990830225794
2020,Census Tract 814.03,9069.0,17031081403,81403,8,1.0,95405.0,0.0950579110109533,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 307.02,2352.0,17031030702,30702,77,1.0,58693.0,0.0400729218135041,EDGEWATER,48.449990830225794
2020,Census Tract 4401.02,3359.0,17031440102,440102,44,1.0,31363.0,0.1071007237828013,CHATHAM,82.32067029535114
2020,Census Tract 4402.02,2674.0,17031440202,440202,44,1.0,31363.0,0.0852597009214679,CHATHAM,82.32067029535114
2020,Census Tract 8305,3910.0,17031830500,830500,30,1.0,70235.0,0.0556702498754182,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 8401,3303.0,17031840100,840100,60,1.0,32901.0,0.1003920853469499,BRIDGEPORT,58.29151926539481
2020,Census Tract 8404,3153.0,17031840400,840400,59,1.0,15246.0,0.2068083431719795,MCKINLEY PARK,39.431799640295466
