year,malepop,male15_19pop,male15_24pop,male15_29pop,geoid,namelsad,tractpop,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,0,0,0,0,17031980100,Census Tract 9801,0,980100,56,0.5,36049,0.0,GARFIELD RIDGE,117.8907784
2020,0,0,0,0,17031980100,Census Tract 9801,0,980100,64,0.5,24382,0.0,CLEARING,71.14519237
2020,3472,184,363,804,17031842800,Census Tract 8428,6916,842800,58,1.0,42728,0.161861075,BRIGHTON PARK,75.8927903
2020,672,39,70,98,17031843800,Census Tract 8438,1475,843800,61,1.0,39055,0.037767251,NEW CITY,134.6369632
2020,479,5,5,78,17031841000,Census Tract 8410,1025,841000,33,1.0,26376,0.038861086,NEAR SOUTH SIDE,49.76963944
2020,884,114,191,208,17031836500,Census Tract 8365,1791,836500,36,1.0,6973,0.256847842,OAKLAND,16.91396104
2020,645,23,23,98,17031843900,Census Tract 8439,1717,843900,42,0.5,23251,0.073846286,WOODLAWN,57.8151795
2020,645,23,23,98,17031843900,Census Tract 8439,1717,843900,43,0.5,51992,0.033024311,SOUTH SHORE,81.81271638
2020,2041,267,322,554,17031834200,Census Tract 8342,4674,834200,43,1.0,51992,0.089898446,SOUTH SHORE,81.81271638
2020,1772,175,194,620,17031842200,Census Tract 8422,3619,842200,8,1.0,95405,0.037933022,NEAR NORTH SIDE,76.67589596
2020,941,35,62,146,17031838000,Census Tract 8380,2201,838000,28,1.0,62816,0.035038844,NEAR WEST SIDE,158.4924665
2020,2620,111,318,591,17031010702,Census Tract 107.02,5209,10702,1,1.0,55643,0.093614651,ROGERS PARK,51.25990244
2020,867,5,262,319,17031010503,Census Tract 105.03,1973,10503,1,1.0,55643,0.035458189,ROGERS PARK,51.25990244
2020,1563,56,353,525,17031010502,Census Tract 105.02,2960,10502,1,1.0,55643,0.053196269,ROGERS PARK,51.25990244
2020,1630,89,104,345,17031010701,Census Tract 107.01,3562,10701,1,1.0,55643,0.06401524,ROGERS PARK,51.25990244
2020,2019,166,286,419,17031020902,Census Tract 209.02,4445,20902,2,1.0,78763,0.056435128,WEST RIDGE,98.42909484
2020,2545,174,232,353,17031020302,Census Tract 203.02,5116,20302,2,1.0,78763,0.064954357,WEST RIDGE,98.42909484
2020,2685,336,464,598,17031020601,Census Tract 206.01,6112,20601,2,1.0,78763,0.077599888,WEST RIDGE,98.42909484
2020,2805,191,263,415,17031020301,Census Tract 203.01,5447,20301,2,1.0,78763,0.069156838,WEST RIDGE,98.42909484
2020,3286,61,93,440,17031760803,Census Tract 7608.03,5930,760803,76,1.0,13285,0.446368084,OHARE,371.8356076
2020,2254,139,456,727,17031530501,Census Tract 5305.01,5073,530501,53,1.0,26484,0.191549615,WEST PULLMAN,99.36519806
2020,2050,302,479,611,17031530503,Census Tract 5305.03,5192,530503,53,1.0,26484,0.196042894,WEST PULLMAN,99.36519806
2020,2420,303,542,737,17031650301,Census Tract 6503.01,4527,650301,65,1.0,32162,0.140756172,WEST LAWN,82.31530167
2020,2582,261,551,700,17031650302,Census Tract 6503.02,4766,650302,65,1.0,32162,0.148187302,WEST LAWN,82.31530167
2020,780,52,153,313,17031530502,Census Tract 5305.02,1609,530502,53,1.0,26484,0.060753663,WEST PULLMAN,99.36519806
2020,415,21,84,96,17031831300,Census Tract 8313,908,831300,25,1.0,95073,0.009550556,AUSTIN,199.2542034
2020,1592,112,241,368,17031831400,Census Tract 8314,2820,831400,25,1.0,95073,0.029661418,AUSTIN,199.2542034
2020,743,15,119,173,17031837000,Census Tract 8370,1672,837000,27,1.0,18075,0.092503458,EAST GARFIELD PARK,53.88322084
